Date,Gram,Moong,Arhar
01/2014,101.8,113.6,106.7
02/2014,101.1,116.9,106.5
03/2014,100.5,120,106
04/2014,100.6,124.1,106.6
05/2014,100.4,126.6,106.8
06/2014,100.5,126.2,107.2
07/2014,100.9,126.2,107.7
08/2014,101.3,126.9,109.5
09/2014,101.8,126.8,111.6
10/2014,102,127.1,112.1
11/2014,102.1,130.3,113.5
12/2014,102.1,131.5,113.7
01/2015,103.6,134.1,114.8
02/2015,105,136.5,117
03/2015,106,137.4,119.5
04/2015,107.6,138.8,123.6
05/2015,112.2,141.5,131.7
06/2015,117.7,144.5,141.3
07/2015,119.5,143.6,143.9
08/2015,121.6,143.3,154.8
09/2015,123.9,144.7,167.3
10/2015,129.8,151.4,199.3
11/2015,133.8,156.8,207
12/2015,133.6,156.6,205.9
01/2016,133.1,156.2,201.4
02/2016,131.7,154.5,192.9
03/2016,130,152.6,186.3
04/2016,133.4,153.6,191.7
05/2016,139.5,154.6,196.4
06/2016,145.9,154.7,197.4
07/2016,158.6,155,197.1
08/2016,167.8,150.5,189.4
09/2016,171.2,146.1,179.3
10/2016,183.6,141.9,177.2
11/2016,193.8,139.2,173.5
12/2016,196.7,136.6,166.5
01/2017,188.5,132.3,152
02/2017,176.9,129.5,142.6
03/2017,163.1,125.5,132
04/2017,157.9,125.8,127.5
05/2017,154.8,125,123.9
06/2017,152.6,123.7,121.1
07/2017,151.4,122.2,118.2
08/2017,151.5,121.3,117.3
09/2017,152.3,121,117.9
10/2017,152.5,120.7,117.7
11/2017,151.4,119.8,117.1
12/2017,148.5,117.8,115.7
01/2018,145.9,117.4,114.5
02/2018,143,116.6,113.7
03/2018,139.8,116.4,113.7
04/2018,136.3,116.5,112.8
05/2018,132.8,117,111.6
06/2018,129.6,116.4,111
07/2018,128.8,117.1,111.4
08/2018,130.2,117.7,111.4
09/2018,129.9,116.8,109.9
10/2018,127.8,114.6,106.5
11/2018,127.3,115.5,106.5
12/2018,128,115.6,108.3
01/2019,127.2,116.3,109.5
02/2019,127.4,116.7,111.4
03/2019,127.3,116.9,113.6
04/2019,126.9,117.8,115.3
05/2019,128.2,120.1,119.1
06/2019,129.4,123.3,124.7
07/2019,130.1,125,127.4
08/2019,130.5,126,128.6
09/2019,130.4,126.7,129.2
10/2019,130.8,127.3,129.8
11/2019,131.1,131.3,132.1
12/2019,131.6,134.2,134.1
01/2020,132.4,138.8,134.5
02/2020,132.2,142.2,133.9
03/2020,143.1,145.7,155.3
04/2020,143.1,145.7,155.3
05/2020,143.1,145.7,155.3
06/2020,138.6,159.8,143.7
07/2020,137.2,156.9,143
08/2020,137.6,157.3,142
09/2020,139.4,156.3,143.3
10/2020,143,158,154.8
11/2020,145.3,159.9,160
12/2020,145.1,160.4,159.7
01/2021,144.1,160.5,156.2
02/2021,142.9,160.8,155.7
03/2021,143.1,161.8,157.9
04/2021,145.5,163.4,160.5
05/2021,150.4,166.6,164.2
06/2021,151.3,166,164.2
07/2021,150.7,162.9,160.9
08/2021,150.3,160.8,159.5
09/2021,152.1,160.1,159.8
10/2021,153.6,160.3,160.3
11/2021,153.6,160.3,159.6
12/2021,153.2,159.4,157.2
01/2022,152.8,158.7,156.3
02/2022,152.5,158.2,156.1
03/2022,151.8,158.4,156.8
04/2022,151.8,159.7,158
05/2022,151.8,160.2,157.9
06/2022,151.6,159.7,157.1
07/2022,151.5,158.7,157.7
08/2022,152.2,159.4,164.2
09/2022,153.3,159.8,168.7
10/2022,153.4,160,170.5
11/2022,153.8,160.6,172.5
12/2022,154.1,161.2,173
01/2023,154.6,161.7,173.4
02/2023,154.2,162.8,173
03/2023,153.7,164,175
04/2023,154.4,167.5,179.8
05/2023,155.1,169.5,184.4
06/2023,156.1,171.7,200.3
07/2023,157.1,173.2,211.4
08/2023,159.9,174.2,217.2
09/2023,168,177.7,231.6
10/2023,173.3,180.4,240.3
11/2023,176.1,182,245.6
12/2023,177.6,182.4,246.4
01/2024,177.7,182.1,241.2
02/2024,177,182.4,236.7
03/2024,177.3,183,233.8
04/2024,176.9,184.2,236.2
05/2024,178.5,185.3,243.6
06/2024,183.3,186.2,254.1
07/2024,186.7,186.3,259
08/2024,190.9,185.9,259.3
09/2024,197.7,185.6,258.1
